Date,Open,High,Low,Close ,Adj Close ,Volume
19-Sep-25,299,311.11,297.32,308.66,308.66,"40,540,200"
18-Sep-25,303.04,303.82,292,296.62,296.62,"24,673,100"
17-Sep-25,307.69,308.66,295.03,301.41,301.41,"27,707,900"
16-Sep-25,314.06,319.97,302.27,306.65,306.65,"51,923,300"
15-Sep-25,306.45,307.03,297.29,302.14,302.14,"40,004,000"
12-Sep-25,305.79,307.97,291.75,292.18,292.18,"51,781,900"
11-Sep-25,330.34,331,304.6,307.86,307.86,"69,986,000"
10-Sep-25,319.19,345.72,312.09,328.33,328.33,"131,618,100"
9-Sep-25,239.94,243.49,234.56,241.51,241.51,"41,178,700"
8-Sep-25,239.89,242.42,235.31,238.48,238.48,"18,803,000"
5-Sep-25,232.55,234.62,225.89,232.8,232.8,"15,386,100"
4-Sep-25,222,223.57,219.56,223,223,"10,303,100"
3-Sep-25,225.9,225.9,221.75,223.45,223.45,"8,900,800"
2-Sep-25,222,225.45,218.79,225.3,225.3,"10,461,900"
29-Aug-25,237.61,238.22,223.11,226.13,226.13,"16,618,600"
28-Aug-25,235.54,241.95,235.12,240.32,240.32,"8,691,500"
27-Aug-25,235,236.53,232.68,235.81,235.81,"5,637,600"
26-Aug-25,235,236.91,232.71,234.21,234.21,"11,805,200"
25-Aug-25,237.35,239.03,235.27,235.41,235.41,"6,308,600"
22-Aug-25,234.06,238.5,231.46,236.37,236.37,"9,343,600"
21-Aug-25,233.05,235.92,232.43,233.16,233.16,"7,403,100"
20-Aug-25,232.18,235.88,228.25,235.06,235.06,"11,256,400"
19-Aug-25,249.25,249.25,232.23,234.62,234.62,"16,819,300"
18-Aug-25,246.2,249.16,243.62,249.07,249.07,"6,759,900"
15-Aug-25,246.92,250.63,242.93,248.28,248.28,"11,554,000"
14-Aug-25,244.95,248.92,242.57,244.96,244.96,"10,285,600"
13-Aug-25,257.17,257.67,242.64,244.18,244.18,"14,182,100"
12-Aug-25,252.58,257.87,251.08,253.86,253.86,"9,998,400"
11-Aug-25,248.4,254.69,245.56,252.68,252.68,"9,012,100"
8-Aug-25,250.03,250.89,247.86,250.05,250.05,"8,313,300"
7-Aug-25,257.71,257.76,246.52,249.39,249.39,"11,954,200"
6-Aug-25,256.84,256.84,251.72,256.43,256.43,"9,930,200"
5-Aug-25,255.41,258.49,251.37,255.67,255.67,"11,197,300"
4-Aug-25,245.9,252.91,245.9,252.53,252.53,"8,614,800"
1-Aug-25,247.83,248.41,242,244.42,244.42,"12,718,200"
31-Jul-25,255.77,260.87,253.32,253.77,253.77,"15,548,700"
30-Jul-25,248.64,251.05,245.6,250.6,250.6,"8,441,400"
29-Jul-25,248.7,253.07,246.59,249.98,249.98,"8,415,300"
28-Jul-25,246,247.78,243.42,247.71,247.71,"6,756,800"
25-Jul-25,242.34,245.47,241.43,245.12,245.12,"7,149,600"
24-Jul-25,242.41,244.08,240.56,242.83,242.83,"8,237,900"
23-Jul-25,239.95,243.42,238.66,241.9,241.9,"7,255,800"
22-Jul-25,241.98,242.29,235.41,238.11,238.11,"11,380,900"
21-Jul-25,245.31,246.8,243.24,243.54,243.54,"7,348,400"
18-Jul-25,248.5,249.68,245,245.45,245.45,"9,678,100"
17-Jul-25,243.34,251.6,242.01,248.75,248.75,"17,631,300"
16-Jul-25,235.5,241.33,233.19,241.3,241.3,"12,597,500"
15-Jul-25,232.41,235.6,229.2,234.96,234.96,"10,728,800"
14-Jul-25,229.45,230.64,225.12,229.28,229.28,"11,337,000"
11-Jul-25,231.37,234,229.87,230.56,230.56,"10,208,200"
10-Jul-25,239.94,240.06,233.5,235,235,"11,486,300"
9-Jul-25,235.51,236.51,232,235.81,235.31,"10,871,600"
8-Jul-25,237.13,241.44,233.19,234.5,234,"20,401,800"
7-Jul-25,235.11,235.25,229.5,232.26,231.77,"16,584,300"
3-Jul-25,233.22,237.99,231.2,237.32,236.82,"18,441,400"
2-Jul-25,217.68,231.9,216.72,229.98,229.49,"22,326,900"
